Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), per kön
Valt läsår: 2024/25

;;;;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;217;17,1;82,0;8,3;9,7;228;17,0;69,7;11,0;19,3;
Ale;1440;Västra Götalands län;14;Kommunal;203;17,1;81,3;8,4;10,3;217;17,0;69,1;10,6;20,3;
Ale;1440;Västra Götalands län;14;Enskild;14;17,0;~100;..;.;11;17,0;~100;..;.;
Alingsås;1489;Västra Götalands län;14;Samtliga;276;16,4;68,1;12,7;19,2;282;16,3;60,6;13,1;26,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;213;16,4;66,2;13,6;20,2;243;16,3;59,3;13,2;27,6;
Alingsås;1489;Västra Götalands län;14;Enskild;63;16,5;74,6;9,5;15,9;39;16,3;69,2;12,8;17,9;
Alvesta;0764;Kronobergs län;07;Samtliga;103;16,9;67,0;15,5;17,5;138;16,9;62,3;10,9;26,8;
Alvesta;0764;Kronobergs län;07;Kommunal;98;16,9;68,4;15,3;16,3;130;16,9;63,1;10,0;26,9;
Alvesta;0764;Kronobergs län;07;Enskild;5;16,6;..;..;..;8;16,9;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;45;16,9;57,8;20,0;22,2;42;17,0;66,7;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;44;16,9;59,1;20,5;20,5;40;17,0;70,0;..;..;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;.;..;..;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;74;16,8;60,8;10,8;28,4;79;16,8;63,3;10,1;26,6;
