Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2022/23

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;481;17,0;75,9;10,8;13,3;
Ale;1440;Västra Götalands län;14;Kommunal;457;17,0;74,6;11,4;14,0;
Ale;1440;Västra Götalands län;14;Enskild;24;16,9;100,0;.;.;
Alingsås;1489;Västra Götalands län;14;Samtliga;582;16,1;74,2;9,3;16,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;486;16,1;71,4;10,7;17,9;
Alingsås;1489;Västra Götalands län;14;Enskild;96;16,5;88,5;..;..;
Alvesta;0764;Kronobergs län;07;Samtliga;251;16,9;61,0;12,0;27,1;
Alvesta;0764;Kronobergs län;07;Kommunal;243;16,9;60,9;12,3;26,7;
Alvesta;0764;Kronobergs län;07;Enskild;..;..;..;.;..;
Aneby;0604;Jönköpings län;06;Samtliga;81;12,0;53,1;16,0;30,9;
Aneby;0604;Jönköpings län;06;Kommunal;77;11,8;55,8;15,6;28,6;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;..;..;
Arboga;1984;Västmanlands län;19;Samtliga;159;15,9;56,6;18,9;24,5;
Arboga;1984;Västmanlands län;19;Kommunal;156;15,9;56,4;18,6;25,0;
Arboga;1984;Västmanlands län;19;Enskild;..;..;..;..;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;26;16,8;~100;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;26;16,8;~100;..;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;66;15,8;77,3;..;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;66;15,8;77,3;..;..;
Arvika;1784;Värmlands län;17;Samtliga;272;16,9;67,3;14,7;18,0;
Arvika;1784;Värmlands län;17;Kommunal;272;16,9;67,3;14,7;18,0;
Askersund;1882;Örebro län;18;Samtliga;119;16,7;73,9;10,9;15,1;
Askersund;1882;Örebro län;18;Kommunal;119;16,7;73,9;10,9;15,1;
Avesta;2084;Dalarnas län;20;Samtliga;273;17,0;57,1;16,1;26,7;
Avesta;2084;Dalarnas län;20;Kommunal;253;17,1;56,1;16,6;27,3;
Avesta;2084;Dalarnas län;20;Enskild;20;15,8;70,0;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;90;12,9;60,0;20,0;20,0;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;90;12,9;60,0;20,0;20,0;
Berg;2326;Jämtlands län;23;Samtliga;74;16,9;68,9;14,9;16,2;
Berg;2326;Jämtlands län;23;Kommunal;69;16,9;66,7;15,9;17,4;
Berg;2326;Jämtlands län;23;Enskild;..;..;..;.;.;
Bjurholm;2403;Västerbottens län;24;Samtliga;28;16,8;60,7;..;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;28;16,8;60,7;..;..;
Bjuv;1260;Skåne län;12;Samtliga;172;16,9;44,2;11,6;44,2;
Bjuv;1260;Skåne län;12;Kommunal;172;16,9;44,2;11,6;44,2;
Boden;2582;Norrbottens län;25;Samtliga;283;16,6;73,9;9,2;17,0;
Boden;2582;Norrbottens län;25;Kommunal;220;16,8;70,9;10,0;19,1;
Boden;2582;Norrbottens län;25;Enskild;63;16,0;84,1;..;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;131;16,9;74,8;7,6;17,6;
Bollebygd;1443;Västra Götalands län;14;Kommunal;109;16,9;72,5;..;..;
Bollebygd;1443;Västra Götalands län;14;Enskild;22;17,0;~100;..;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;331;16,9;70,4;10,3;19,3;
Bollnäs;2183;Gävleborgs län;21;Kommunal;295;17,0;70,2;10,2;19,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;36;16,6;72,2;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;85;16,9;64,7;11,8;23,5;
Borgholm;0885;Kalmar län;08;Kommunal;85;16,9;64,7;11,8;23,5;
Borlänge;2081;Dalarnas län;20;Samtliga;635;16,5;58,4;13,9;27,7;
Borlänge;2081;Dalarnas län;20;Kommunal;570;16,4;58,8;13,7;27,5;
Borlänge;2081;Dalarnas län;20;Enskild;65;17,0;55,4;15,4;29,2;
Borås;1490;Västra Götalands län;14;Samtliga;1 445;17,0;70,9;10,4;18,8;
Borås;1490;Västra Götalands län;14;Kommunal;1 183;17,0;69,7;9,9;20,4;
Borås;1490;Västra Götalands län;14;Enskild;262;16,9;76,0;12,6;11,5;
Botkyrka;0127;Stockholms län;01;Samtliga;1 164;16,4;62,2;12,6;25,2;
Botkyrka;0127;Stockholms län;01;Kommunal;958;16,5;61,0;12,5;26,5;
Botkyrka;0127;Stockholms län;01;Enskild;206;16,0;68,0;13,1;18,9;
Boxholm;0560;Östergötlands län;05;Samtliga;61;12,0;82,0;..;..;
Boxholm;0560;Östergötlands län;05;Kommunal;61;12,0;82,0;..;..;
Bromölla;1272;Skåne län;12;Samtliga;160;17,0;66,3;15,0;18,8;
Bromölla;1272;Skåne län;12;Kommunal;160;17,0;66,3;15,0;18,8;
Bräcke;2305;Jämtlands län;23;Samtliga;65;14,6;60,0;..;..;
Bräcke;2305;Jämtlands län;23;Kommunal;65;14,6;60,0;..;..;
Burlöv;1231;Skåne län;12;Samtliga;226;17,2;69,0;10,2;20,8;
Burlöv;1231;Skåne län;12;Kommunal;226;17,2;69,0;10,2;20,8;
Båstad;1278;Skåne län;12;Samtliga;165;16,5;73,9;8,5;17,6;
Båstad;1278;Skåne län;12;Kommunal;148;17,1;71,6;9,5;18,9;
Båstad;1278;Skåne län;12;Enskild;17;12,1;~100;.;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;59;16,8;54,2;..;..;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;59;16,8;54,2;..;..;
Danderyd;0162;Stockholms län;01;Samtliga;481;17,0;92,5;2,1;5,4;
Danderyd;0162;Stockholms län;01;Kommunal;444;17,0;92,1;2,3;5,6;
Danderyd;0162;Stockholms län;01;Enskild;37;17,1;~100;.;..;
Degerfors;1862;Örebro län;18;Samtliga;98;17,0;58,2;18,4;23,5;
Degerfors;1862;Örebro län;18;Kommunal;98;17,0;58,2;18,4;23,5;
Dorotea;2425;Västerbottens län;24;Samtliga;26;16,8;73,1;..;..;
Dorotea;2425;Västerbottens län;24;Kommunal;26;16,8;73,1;..;..;
Eda;1730;Värmlands län;17;Samtliga;87;16,7;52,9;..;..;
Eda;1730;Värmlands län;17;Kommunal;87;16,7;52,9;..;..;
Ekerö;0125;Stockholms län;01;Samtliga;418;16,3;81,8;7,9;10,3;
Ekerö;0125;Stockholms län;01;Kommunal;387;16,4;80,9;8,0;11,1;
Ekerö;0125;Stockholms län;01;Enskild;31;15,0;~100;..;.;
Eksjö;0686;Jönköpings län;06;Samtliga;199;16,9;72,9;8,5;18,6;
Eksjö;0686;Jönköpings län;06;Kommunal;197;17,0;73,6;8,6;17,8;
Eksjö;0686;Jönköpings län;06;Enskild;..;..;.;.;..;
Emmaboda;0862;Kalmar län;08;Samtliga;82;17,0;72,0;12,2;15,9;
