Statistik från Skolverket, https://www.skolverket.se

Grundskola - Kostnader per kommun
Valt år: 2020
Endast kommunal huvudman

Kommun;Kommunkod;Län;Läns-kod;Typ av huvudman;Genomsnittligt elevantal;Totalt;Undervisning;Totalt per elev;Undervisning per elev;Lokaler per elev;Måltider per elev;Lärverktyg per elev;Elevhälsa per elev;Övrigt per elev;
Ale;1440;Västra Götalands län;14;Kommunal;3 593;410198;216 424;114 200;60 200;20 700;5 800;4 600;3 720;19 100;
Alingsås;1489;Västra Götalands län;14;Kommunal;3 957;454713;262 884;114 900;66 400;21 800;5 600;4 900;3 330;12 900;
Alvesta;0764;Kronobergs län;07;Kommunal;2 180;259242;139 165;118 900;63 800;21 000;5 500;6 700;2 900;18 900;
Aneby;0604;Jönköpings län;06;Kommunal;710;87617;40 600;123 500;57 200;17 000;6 200;4 500;2 940;35 700;
Arboga;1984;Västmanlands län;19;Kommunal;1 321;150834;89 152;114 200;67 500;18 000;7 700;5 600;3 660;11 800;
Arjeplog;2506;Norrbottens län;25;Kommunal;231;30739;16 572;133 100;71 700;14 800;12 800;2 200;6 520;25 000;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;558;66072;40 939;118 500;73 400;14 300;5 200;4 200;3 180;18 300;
Arvika;1784;Värmlands län;17;Kommunal;2 336;258924;149 155;110 900;63 900;16 900;6 600;3 300;3 910;16 300;
Askersund;1882;Örebro län;18;Kommunal;1 037;119902;70 398;115 700;67 900;19 200;8 700;2 400;3 700;13 800;
Avesta;2084;Dalarnas län;20;Kommunal;2 313;287396;148 383;124 300;64 200;25 100;6 400;6 000;3 500;19 100;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;917;110350;63 945;120 300;69 700;13 100;8 600;3 300;5 200;20 400;
Berg;2326;Jämtlands län;23;Kommunal;621;104068;53 322;167 700;85 900;25 300;14 300;6 100;4 290;31 700;
Bjurholm;2403;Västerbottens län;24;Kommunal;239;38222;29 242;159 900;122 400;13 300;-1 500;3 100;3 000;19 600;
Bjuv;1260;Skåne län;12;Kommunal;1 734;209366;130 412;120 800;75 200;15 400;6 900;2 700;6 470;14 100;
Boden;2582;Norrbottens län;25;Kommunal;2 038;231363;128 185;113 500;62 900;13 100;6 700;8 100;4 120;18 600;
Bollebygd;1443;Västra Götalands län;14;Kommunal;1 018;117895;67 259;115 900;66 100;19 300;5 100;5 600;4 400;15 400;
Bollnäs;2183;Gävleborgs län;21;Kommunal;2 043;253338;130 330;124 000;63 800;23 600;8 000;2 700;3 870;22 000;
Borgholm;0885;Kalmar län;08;Kommunal;771;104229;61 521;135 300;79 800;24 600;10 300;7 200;3 340;9 900;
Borlänge;2081;Dalarnas län;20;Kommunal;5 279;637421;363 467;120 700;68 900;18 100;7 500;6 700;5 200;14 400;
Borås;1490;Västra Götalands län;14;Kommunal;10 622;1191991;708 203;112 200;66 700;16 600;6 900;4 600;4 760;12 600;
Botkyrka;0127;Stockholms län;01;Kommunal;8 665;1035677;593 987;119 500;68 600;19 200;5 800;3 800;4 050;18 100;
Boxholm;0560;Östergötlands län;05;Kommunal;499;65064;41 184;130 400;82 500;17 600;7 300;1 200;4 470;17 300;
Bromölla;1272;Skåne län;12;Kommunal;1 388;166247;96 292;119 800;69 400;15 700;6 500;3 700;4 540;20 000;
