Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2021/22
Valt uttag: 2022-02-11

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ale;1440;Västra Götalands län;14;Samtliga;271,3;198,3;73,1;35,0;308;251;81,5;39;
Ale;1440;Västra Götalands län;14;Kommunal;251,8;180,8;71,8;32,4;288;232;80,6;36;
Ale;1440;Västra Götalands län;14;Enskild;19,5;17,5;89,6;2,6;21;20;95,2;3;
Alingsås;1489;Västra Götalands län;14;Samtliga;333,6;244,5;73,3;40,8;393;328;83,5;46;
Alingsås;1489;Västra Götalands län;14;Kommunal;276,5;208,9;75,6;32,5;327;276;84,4;37;
Alingsås;1489;Västra Götalands län;14;Enskild;57,1;35,6;62,4;8,4;66;52;78,8;9;
Alvesta;0764;Kronobergs län;07;Samtliga;177,6;122,6;69,0;31,2;204;160;78,4;33;
Alvesta;0764;Kronobergs län;07;Kommunal;172,1;119,7;69,6;30,2;195;155;79,5;32;
Alvesta;0764;Kronobergs län;07;Enskild;5,5;2,9;52,3;1,0;9;5;55,6;1;
Aneby;0604;Jönköpings län;06;Samtliga;68,4;44,7;65,4;7,5;85;64;75,3;8;
Aneby;0604;Jönköpings län;06;Kommunal;58,9;40,6;69,0;6,5;74;57;77,0;7;
Aneby;0604;Jönköpings län;06;Enskild;9,5;4,1;43,2;1,0;11;7;63,6;1;
Arboga;1984;Västmanlands län;19;Samtliga;97,7;67,4;69,0;17,5;108;84;77,8;18;
Arboga;1984;Västmanlands län;19;Kommunal;97,7;67,4;69,0;17,5;108;84;77,8;18;
Arjeplog;2506;Norrbottens län;25;Samtliga;21,1;11,9;56,3;2,0;26;17;65,4;2;
Arjeplog;2506;Norrbottens län;25;Kommunal;21,1;11,9;56,3;2,0;26;17;65,4;2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;45,5;33,5;73,8;3,3;54;43;79,6;4;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;45,5;33,5;73,8;3,3;54;43;79,6;4;
Arvika;1784;Värmlands län;17;Samtliga;209,6;154,1;73,5;26,3;262;208;79,4;29;
Arvika;1784;Värmlands län;17;Kommunal;195,3;144,4;73,9;25,2;238;191;80,3;27;
Arvika;1784;Värmlands län;17;Enskild;14,4;9,7;67,9;1,2;24;17;70,8;2;
Askersund;1882;Örebro län;18;Samtliga;81,2;55,8;68,7;11,9;95;74;77,9;12;
Askersund;1882;Örebro län;18;Kommunal;81,2;55,8;68,7;11,9;95;74;77,9;12;
Avesta;2084;Dalarnas län;20;Samtliga;188,7;112,9;59,8;26,4;215;142;66,0;29;
Avesta;2084;Dalarnas län;20;Kommunal;181,3;108,7;59,9;26,4;205;137;66,8;29;
Avesta;2084;Dalarnas län;20;Enskild;7,5;4,3;57,4;.;10;5;50,0;.;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;81,2;51,5;63,5;11,0;95;67;70,5;12;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;81,2;51,5;63,5;11,0;95;67;70,5;12;
Berg;2326;Jämtlands län;23;Samtliga;64,1;41,9;65,3;7,6;83;55;66,3;8;
Berg;2326;Jämtlands län;23;Kommunal;60,2;38,6;64,0;6,9;75;51;68,0;7;
Berg;2326;Jämtlands län;23;Enskild;3,9;3,3;84,3;0,7;8;4;50,0;1;
Bjurholm;2403;Västerbottens län;24;Samtliga;22,3;18,8;84,5;2,0;27;26;96,3;2;
Bjurholm;2403;Västerbottens län;24;Kommunal;22,3;18,8;84,5;2,0;27;26;96,3;2;
Bjuv;1260;Skåne län;12;Samtliga;141,0;88,9;63,1;15,5;160;115;71,9;16;
Bjuv;1260;Skåne län;12;Kommunal;141,0;88,9;63,1;15,5;160;115;71,9;16;
Boden;2582;Norrbottens län;25;Samtliga;213,5;137,5;64,4;28,1;232;180;77,6;31;
Boden;2582;Norrbottens län;25;Kommunal;163,9;108,9;66,4;24,1;176;141;80,1;26;
Boden;2582;Norrbottens län;25;Enskild;49,6;28,6;57,6;4,1;56;39;69,6;5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;89,9;65,1;72,4;20,1;115;92;80,0;23;
Bollebygd;1443;Västra Götalands län;14;Kommunal;79,5;56,9;71,6;11,4;99;77;77,8;12;
Bollebygd;1443;Västra Götalands län;14;Enskild;10,4;8,2;78,6;8,7;16;15;93,8;11;
Bollnäs;2183;Gävleborgs län;21;Samtliga;214,4;138,1;64,4;31,6;251;188;74,9;34;
Bollnäs;2183;Gävleborgs län;21;Kommunal;158,4;108,3;68,4;24,9;182;145;79,7;27;
Bollnäs;2183;Gävleborgs län;21;Enskild;56,0;29,8;53,2;6,7;69;43;62,3;7;
Borgholm;0885;Kalmar län;08;Samtliga;62,9;45,3;72,1;7,8;72;63;87,5;9;
Borgholm;0885;Kalmar län;08;Kommunal;62,9;45,3;72,1;7,8;72;63;87,5;9;
Borlänge;2081;Dalarnas län;20;Samtliga;459,5;282,4;61,5;55,4;517;356;68,9;61;
Borlänge;2081;Dalarnas län;20;Kommunal;418,3;258,5;61,8;54,9;468;323;69,0;60;
Borlänge;2081;Dalarnas län;20;Enskild;41,2;23,9;58,0;0,6;49;33;67,3;1;
Borås;1490;Västra Götalands län;14;Samtliga;912,0;600,8;65,9;111,2;1 051;776;73,8;121;
Borås;1490;Västra Götalands län;14;Kommunal;828,5;550,2;66,4;102,8;956;714;74,7;111;
Borås;1490;Västra Götalands län;14;Enskild;83,5;50,6;60,6;8,4;96;63;65,6;10;
Botkyrka;0127;Stockholms län;01;Samtliga;680,4;433,8;63,8;91,6;733;556;75,9;99;
Botkyrka;0127;Stockholms län;01;Kommunal;576,8;378,4;65,6;83,5;616;483;78,4;89;
Botkyrka;0127;Stockholms län;01;Enskild;103,6;55,4;53,5;8,1;118;73;61,9;10;
Boxholm;0560;Östergötlands län;05;Samtliga;43,6;32,7;75,0;4,7;53;43;81,1;6;
Boxholm;0560;Östergötlands län;05;Kommunal;43,6;32,7;75,0;4,7;53;43;81,1;6;
Bromölla;1272;Skåne län;12;Samtliga;113,4;82,1;72,4;11,4;129;102;79,1;13;
Bromölla;1272;Skåne län;12;Kommunal;113,4;82,1;72,4;11,4;129;102;79,1;13;
Bräcke;2305;Jämtlands län;23;Samtliga;54,1;35,3;65,3;8,4;69;50;72,5;9;
Bräcke;2305;Jämtlands län;23;Kommunal;54,1;35,3;65,3;8,4;69;50;72,5;9;
Burlöv;1231;Skåne län;12;Samtliga;119,1;78,8;66,2;15,9;132;106;80,3;19;
Burlöv;1231;Skåne län;12;Kommunal;119,1;78,8;66,2;15,9;132;106;80,3;19;
Båstad;1278;Skåne län;12;Samtliga;116,7;89,3;76,5;12,1;132;109;82,6;13;
Båstad;1278;Skåne län;12;Kommunal;109,1;82,8;75,9;11,1;122;100;82,0;12;
Båstad;1278;Skåne län;12;Enskild;7,6;6,5;85,4;1,0;14;11;78,6;1;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;42,4;30,2;71,3;5,0;48;37;77,1;5;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;42,4;30,2;71,3;5,0;48;37;77,1;5;
Danderyd;0162;Stockholms län;01;Samtliga;277,0;227,8;82,2;48,7;312;275;88,1;50;
Danderyd;0162;Stockholms län;01;Kommunal;211,9;175,7;82,9;40,7;233;208;89,3;42;
Danderyd;0162;Stockholms län;01;Enskild;65,1;52,0;79,9;8,0;83;70;84,3;8;
Degerfors;1862;Örebro län;18;Samtliga;77,0;54,1;70,3;8,9;85;72;84,7;9;
Degerfors;1862;Örebro län;18;Kommunal;77,0;54,1;70,3;8,9;85;72;84,7;9;
Dorotea;2425;Västerbottens län;24;Samtliga;22,1;12,2;55,2;.;27;18;66,7;.;
Dorotea;2425;Västerbottens län;24;Kommunal;22,1;12,2;55,2;.;27;18;66,7;.;
Eda;1730;Värmlands län;17;Samtliga;74,9;47,4;63,3;8,0;90;61;67,8;8;
Eda;1730;Värmlands län;17;Kommunal;74,9;47,4;63,3;8,0;90;61;67,8;8;
Ekerö;0125;Stockholms län;01;Samtliga;250,2;177,7;71,0;37,7;280;225;80,4;41;
Ekerö;0125;Stockholms län;01;Kommunal;228,8;162,7;71,1;34,9;254;207;81,5;37;
Ekerö;0125;Stockholms län;01;Enskild;21,4;15,1;70,4;2,8;27;19;70,4;4;
Eksjö;0686;Jönköpings län;06;Samtliga;153,4;96,4;62,8;20,1;199;133;66,8;21;
Eksjö;0686;Jönköpings län;06;Kommunal;146,1;93,7;64,1;20,1;189;128;67,7;21;
Eksjö;0686;Jönköpings län;06;Enskild;7,3;2,7;36,7;.;10;5;50,0;.;
Emmaboda;0862;Kalmar län;08;Samtliga;89,7;70,2;78,2;9,2;109;93;85,3;10;
Emmaboda;0862;Kalmar län;08;Kommunal;89,7;70,2;78,2;9,2;109;93;85,3;10;
Enköping;0381;Uppsala län;03;Samtliga;370,8;258,5;69,7;35,5;414;326;78,7;37;
Enköping;0381;Uppsala län;03;Kommunal;294,5;213,6;72,5;28,8;325;267;82,2;30;
Enköping;0381;Uppsala län;03;Enskild;76,3;44,9;58,8;6,7;90;60;66,7;7;
Eskilstuna;0484;Södermanlands län;04;Samtliga;726,1;467,4;64,4;86,2;795;581;73,1;93;
Eskilstuna;0484;Södermanlands län;04;Kommunal;678,8;444,1;65,4;82,6;732;548;74,9;88;
Eskilstuna;0484;Södermanlands län;04;Enskild;47,4;23,3;49,3;3,6;65;34;52,3;5;
Eslöv;1285;Skåne län;12;Samtliga;272,8;197,6;72,5;32,5;301;246;81,7;35;
Eslöv;1285;Skåne län;12;Kommunal;269,2;196,2;72,9;32,5;298;244;81,9;35;
Eslöv;1285;Skåne län;12;Enskild;3,6;1,4;38,9;.;6;3;50,0;.;
Essunga;1445;Västra Götalands län;14;Samtliga;40,8;26,4;64,7;5,2;53;36;67,9;6;
