Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2017/18
 
Under vårterminen 2018 fanns indikationer på att vissa av de nationella delproven i årskurs 9 hade varit åtkomliga på förhand.
Skolverket rekommenderade då att skolan skulle använda ersättningsprov om man fick kännedom om att provet eller delar av provet
blivit känt bland eleverna på skolan. Resultaten från ersättningsprov samlas inte in. Istället gavs instruktionen vid insamling
av resultaten att ange att "eleven ej deltagit", vilket syftar på att ordinarie prov inte använts.
För provbetyget i matematik är den totala andelen elever som har rapporterats in som "eleven ej deltagit" så stor (närmare 76 procent)
att resultaten inte kan publiceras med den kvalitet som gäller för officiell statistik enligt 3 a § lagen (2001:99) om den officiella statistiken.

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska som andraspråk;52,3;..;46,9;23;..;..;~100;..;~100;10,4;..;9,2;
Ale;1440;Västra Götalands län;14;Samtliga;Engelska;75,1;76,6;73,8;292;134;158;96,9;~100;..;14,8;15,1;14,6;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska;44,6;42,3;46,7;154;69;85;~100;~100;~100;14,2;15,0;13,5;
Ale;1440;Västra Götalands län;14;Kommunal;Engelska;71,8;73,4;70,5;247;113;134;96,4;~100;..;14,7;15,0;14,5;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska;51,3;48,6;53,8;154;69;85;~100;~100;~100;14,2;15,0;13,5;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska som andraspråk;52,3;..;46,9;23;..;..;~100;..;~100;10,4;..;9,2;
Ale;1440;Västra Götalands län;14;Enskild;Engelska;100,0;100,0;100,0;45;21;24;100,0;100,0;100,0;15,7;16,0;15,4;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska;80,6;79,4;81,8;340;167;173;97,4;~100;..;14,0;15,3;12,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska som andraspråk;79,6;80,0;79,4;39;12;27;82,1;~100;..;9,2;9,4;9,2;
Alingsås;1489;Västra Götalands län;14;Samtliga;Engelska;77,7;75,1;79,9;379;172;207;96,3;96,5;96,1;14,6;14,8;14,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska som andraspråk;80,4;85,7;78,1;37;12;25;81,1;~100;..;9,1;9,4;9,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska;90,0;91,4;88,8;293;145;148;96,9;~100;..;13,8;15,1;12,6;
Alingsås;1489;Västra Götalands län;14;Kommunal;Engelska;85,5;85,8;85,3;331;151;180;95,8;96,0;95,6;14,6;14,9;14,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Alingsås;1489;Västra Götalands län;14;Enskild;Engelska;47,5;39,6;56,3;48;21;27;100,0;100,0;100,0;14,6;14,5;14,7;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska;48,0;42,3;54,3;47;22;25;100,0;100,0;100,0;15,3;16,6;14,1;
Alvesta;0764;Kronobergs län;07;Samtliga;Svenska;93,8;94,5;93,2;182;86;96;96,7;~100;~100;13,0;13,8;12,3;
Alvesta;0764;Kronobergs län;07;Samtliga;Svenska som andraspråk;86,8;92,9;80,0;46;26;20;47,8;42,3;55,0;5,3;4,9;5,9;
Alvesta;0764;Kronobergs län;07;Samtliga;Engelska;93,9;94,1;93,8;232;112;120;86,6;88,4;85,0;12,3;12,3;12,3;
