Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2021/22

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ale;1440;Västra Götalands län;14;Samtliga;Matematik;85,2;82,9;87,6;364;180;184;79,4;81,7;77,2;9,7;10,1;9,4;
Ale;1440;Västra Götalands län;14;Samtliga;Engelska;85,5;88,0;82,9;364;191;173;~100;~100;~100;15,5;15,5;15,6;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska;85,3;85,1;85,4;336;172;164;93,2;96,5;89,6;12,3;13,5;10,9;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska som andraspråk;93,9;93,3;94,4;31;14;17;~100;~100;~100;10,0;10,9;9,3;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska;84,3;84,0;84,6;312;158;154;92,6;96,2;89,0;12,1;13,3;10,8;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska som andraspråk;93,9;93,3;94,4;31;14;17;~100;~100;~100;10,0;10,9;9,3;
Ale;1440;Västra Götalands län;14;Kommunal;Engelska;84,6;87,2;82,0;340;177;163;~100;~100;~100;15,5;15,4;15,6;
Ale;1440;Västra Götalands län;14;Kommunal;Matematik;84,6;82,3;87,0;341;167;174;80,4;82,6;78,2;9,8;10,1;9,5;
Ale;1440;Västra Götalands län;14;Enskild;Engelska;100,0;100,0;100,0;24;14;10;100,0;100,0;100,0;16,4;17,0;15,5;
Ale;1440;Västra Götalands län;14;Enskild;Svenska;100,0;100,0;100,0;24;14;10;100,0;100,0;100,0;14,8;16,3;12,8;
Ale;1440;Västra Götalands län;14;Enskild;Matematik;95,8;92,9;100,0;23;13;10;65,2;..;..;8,8;10,0;7,3;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska;90,8;91,3;90,3;484;242;242;93,6;95,0;92,1;12,6;13,5;11,6;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska som andraspråk;95,0;94,7;95,2;38;18;20;52,6;..;..;6,2;7,4;5,1;
Alingsås;1489;Västra Götalands län;14;Samtliga;Matematik;86,6;86,6;86,5;496;246;250;85,1;79,7;90,4;10,9;10,2;11,7;
Alingsås;1489;Västra Götalands län;14;Samtliga;Engelska;89,2;87,7;90,7;511;249;262;97,1;..;~100;15,3;14,9;15,7;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska som andraspråk;94,3;93,3;95,0;33;14;19;45,5;..;..;5,2;5,9;4,6;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska;89,3;90,5;88,2;376;181;195;91,8;93,4;90,3;12,1;13,0;11,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;Matematik;85,1;85,6;84,6;388;184;204;86,1;80,4;91,2;11,2;10,5;11,9;
Alingsås;1489;Västra Götalands län;14;Kommunal;Engelska;86,8;84,7;88,8;396;182;214;97,2;..;~100;15,3;15,1;15,6;
