Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ale;1440;Västra Götalands län;14;Samtliga;Engelska;371;186;185;98,1;~100;~100;15,7;15,5;15,9;89,2;87,7;90,7;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska som andraspråk;34;13;21;~100;100,0;~100;11,1;13,3;9,8;82,9;72,2;91,3;
Ale;1440;Västra Götalands län;14;Samtliga;Svenska;341;174;167;95,6;97,1;94,0;13,1;13,9;12,2;90,7;89,7;91,8;
Ale;1440;Västra Götalands län;14;Samtliga;Matematik;376;190;186;84,3;84,7;83,9;11,1;11,1;11,0;90,2;89,6;90,7;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska;295;152;143;95,9;96,7;95,1;12,9;13,6;12,1;89,9;88,4;91,7;
Ale;1440;Västra Götalands län;14;Kommunal;Svenska som andraspråk;34;13;21;~100;100,0;~100;11,1;13,3;9,8;82,9;72,2;91,3;
Ale;1440;Västra Götalands län;14;Kommunal;Engelska;325;165;160;98,2;~100;~100;15,6;15,4;15,8;88,3;86,8;89,9;
Ale;1440;Västra Götalands län;14;Kommunal;Matematik;330;168;162;82,7;82,7;82,7;10,6;10,6;10,7;89,4;88,4;90,5;
Ale;1440;Västra Götalands län;14;Enskild;Engelska;46;21;25;~100;100,0;~100;16,5;16,7;16,3;95,8;95,5;96,2;
Ale;1440;Västra Götalands län;14;Enskild;Matematik;46;22;24;~100;100,0;~100;14,4;15,7;13,2;95,8;100,0;92,3;
Ale;1440;Västra Götalands län;14;Enskild;Svenska;46;22;24;~100;100,0;~100;14,1;15,8;12,5;95,8;100,0;92,3;
Alingsås;1489;Västra Götalands län;14;Samtliga;Engelska;511;250;261;97,5;..;~100;15,5;15,3;15,7;90,3;90,6;90,0;
Alingsås;1489;Västra Götalands län;14;Samtliga;Matematik;511;248;263;84,0;80,2;87,5;11,4;11,0;11,8;90,3;89,9;90,7;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska;503;245;258;89,3;93,1;85,7;12,1;13,3;10,9;92,8;92,8;92,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;Svenska som andraspråk;24;12;12;54,2;..;..;6,1;6,7;5,6;100,0;100,0;100,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska som andraspråk;22;10;12;50,0;..;..;5,7;5,8;5,6;100,0;100,0;100,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;Svenska;402;190;212;87,6;91,6;84,0;11,7;12,9;10,6;91,6;91,8;91,4;
Alingsås;1489;Västra Götalands län;14;Kommunal;Engelska;408;192;216;96,8;..;~100;15,4;15,2;15,6;88,5;88,5;88,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Matematik;412;193;219;81,8;76,2;86,8;11,0;10,4;11,6;89,4;88,9;89,8;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska;101;55;46;~100;~100;~100;13,4;14,8;11,8;98,1;96,5;100,0;
Alingsås;1489;Västra Götalands län;14;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Alingsås;1489;Västra Götalands län;14;Enskild;Matematik;99;55;44;92,9;~100;~100;13,0;13,4;12,5;94,3;93,2;95,7;
