Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Kostnader per kommun
Valt år: 2022
Endast kommunal huvudman

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Genomsnittligt elevantal;Totalt;Undervisning;Totalt per elev;Undervisning per elev;Lokaler per elev;Måltider per elev;Lärverktyg per elev;Elevhälsa per elev;Övrigt per elev;
Ale;1440;Västra Götalands län;14;Kommunal;120;32469;17 931;270 600;149 400;44 600;3 900;6 300;8 880;57 400;
Alingsås;1489;Västra Götalands län;14;Kommunal;1 250;155183;86 407;124 200;69 200;18 200;5 100;9 700;3 640;18 400;
Alvesta;0764;Kronobergs län;07;Kommunal;94;18999;10 902;203 200;116 600;24 200;6 400;7 000;8 300;40 800;
Aneby;0604;Jönköpings län;06;Kommunal;0;1828;.;.;.;.;.;.;.;.;
Arboga;1984;Västmanlands län;19;Kommunal;316;48119;21 985;152 300;69 600;33 800;7 200;15 200;1 780;24 700;
Arjeplog;2506;Norrbottens län;25;Kommunal;41;13595;6 424;335 700;158 600;64 100;26 300;16 700;21 800;48 100;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;214;44469;28 589;208 300;133 900;32 800;9 400;9 900;2 590;19 600;
Arvika;1784;Värmlands län;17;Kommunal;753;117344;64 348;155 900;85 500;28 000;6 700;10 400;4 280;21 100;
Askersund;1882;Örebro län;18;Kommunal;0;189;.;.;.;.;.;.;.;.;
Avesta;2084;Dalarnas län;20;Kommunal;825;127680;68 301;154 800;82 800;25 300;5 800;13 800;3 050;23 900;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;83;18432;8 397;222 100;101 200;34 100;10 200;13 300;9 250;54 100;
Berg;2326;Jämtlands län;23;Kommunal;111;21320;15 261;192 100;137 500;12 500;10 500;12 000;3 210;16 400;
Bjurholm;2403;Västerbottens län;24;Kommunal;0;5;5;.;.;.;.;.;.;.;
Bjuv;1260;Skåne län;12;Kommunal;0;1620;.;.;.;.;.;.;.;.;
Boden;2582;Norrbottens län;25;Kommunal;781;143451;66 497;183 800;85 200;25 600;5 200;29 000;2 450;36 400;
Bollebygd;1443;Västra Götalands län;14;Kommunal;11;3876;2 056;369 100;195 800;21 700;3 300;10 500;.;137 800;
