Statistik från Skolverket, https://www.skolverket.se

Grundskola - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2024/25

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel (%) elever behöriga till yrkesprog.;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;
Ale;1440;Västra Götalands län;14;Samtliga;Flickor;214;83,2;81,8;80,8;79,0;
Ale;1440;Västra Götalands län;14;Samtliga;Pojkar;220;80,0;79,5;77,3;76,4;
Ale;1440;Västra Götalands län;14;Samtliga;Samtliga;434;81,6;80,6;79,0;77,6;
Ale;1440;Västra Götalands län;14;Kommunal;Flickor;202;83,2;81,7;80,7;78,7;
Ale;1440;Västra Götalands län;14;Kommunal;Pojkar;207;79,2;78,7;76,3;75,4;
Ale;1440;Västra Götalands län;14;Kommunal;Samtliga;409;81,2;80,2;78,5;77,0;
Ale;1440;Västra Götalands län;14;Enskild;Flickor;12;~100;~100;~100;~100;
Ale;1440;Västra Götalands län;14;Enskild;Pojkar;13;~100;~100;~100;~100;
Ale;1440;Västra Götalands län;14;Enskild;Samtliga;25;~100;~100;~100;~100;
Alingsås;1489;Västra Götalands län;14;Samtliga;Flickor;283;79,2;77,7;76,7;74,2;
Alingsås;1489;Västra Götalands län;14;Samtliga;Pojkar;277;83,8;83,4;79,4;79,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;Samtliga;560;81,4;80,5;78,0;77,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;Flickor;224;76,3;75,0;74,1;72,3;
Alingsås;1489;Västra Götalands län;14;Kommunal;Pojkar;225;81,3;80,9;76,0;77,8;
Alingsås;1489;Västra Götalands län;14;Kommunal;Samtliga;449;78,8;78,0;75,1;75,1;
Alingsås;1489;Västra Götalands län;14;Enskild;Flickor;59;..;..;..;81,4;
Alingsås;1489;Västra Götalands län;14;Enskild;Pojkar;52;~100;~100;~100;88,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Samtliga;111;91,9;91,0;90,1;84,7;
Alvesta;0764;Kronobergs län;07;Samtliga;Flickor;123;80,5;80,5;74,8;74,0;
Alvesta;0764;Kronobergs län;07;Samtliga;Pojkar;116;86,2;82,8;80,2;76,7;
Alvesta;0764;Kronobergs län;07;Samtliga;Samtliga;239;83,3;81,6;77,4;75,3;
Alvesta;0764;Kronobergs län;07;Kommunal;Flickor;123;80,5;80,5;74,8;74,0;
Alvesta;0764;Kronobergs län;07;Kommunal;Pojkar;116;86,2;82,8;80,2;76,7;
Alvesta;0764;Kronobergs län;07;Kommunal;Samtliga;239;83,3;81,6;77,4;75,3;
Aneby;0604;Jönköpings län;06;Samtliga;Flickor;28;~100;~100;~100;~100;
Aneby;0604;Jönköpings län;06;Samtliga;Pojkar;44;~100;~100;~100;~100;
Aneby;0604;Jönköpings län;06;Samtliga;Samtliga;72;91,7;90,3;88,9;88,9;
Aneby;0604;Jönköpings län;06;Kommunal;Flickor;27;~100;~100;~100;~100;
Aneby;0604;Jönköpings län;06;Kommunal;Pojkar;44;~100;~100;~100;~100;
Aneby;0604;Jönköpings län;06;Kommunal;Samtliga;71;93,0;91,5;90,1;90,1;
Aneby;0604;Jönköpings län;06;Enskild;Flickor;..;.;.;.;.;
Aneby;0604;Jönköpings län;06;Enskild;Pojkar;.;.;.;.;.;
Aneby;0604;Jönköpings län;06;Enskild;Samtliga;..;.;.;.;.;
Arboga;1984;Västmanlands län;19;Samtliga;Flickor;63;85,7;84,1;82,5;82,5;
Arboga;1984;Västmanlands län;19;Samtliga;Pojkar;70;82,9;81,4;80,0;75,7;
Arboga;1984;Västmanlands län;19;Samtliga;Samtliga;133;84,2;82,7;81,2;78,9;
Arboga;1984;Västmanlands län;19;Kommunal;Flickor;63;85,7;84,1;82,5;82,5;
Arboga;1984;Västmanlands län;19;Kommunal;Pojkar;70;82,9;81,4;80,0;75,7;
Arboga;1984;Västmanlands län;19;Kommunal;Samtliga;133;84,2;82,7;81,2;78,9;
Arjeplog;2506;Norrbottens län;25;Samtliga;Flickor;11;100,0;~100;~100;~100;
Arjeplog;2506;Norrbottens län;25;Samtliga;Pojkar;10;~100;~100;~100;~100;
Arjeplog;2506;Norrbottens län;25;Samtliga;Samtliga;21;~100;~100;~100;~100;
Arjeplog;2506;Norrbottens län;25;Kommunal;Flickor;11;100,0;~100;~100;~100;
Arjeplog;2506;Norrbottens län;25;Kommunal;Pojkar;10;~100;~100;~100;~100;
Arjeplog;2506;Norrbottens län;25;Kommunal;Samtliga;21;~100;~100;~100;~100;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Flickor;20;~100;~100;~100;~100;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Pojkar;30;..;..;..;..;
